bundleId,name,slug,status,bestUrl,appStoreUrl,source,confidence,pageTitle,notes
"com.tumult.Hype4","Hype4","hype4","unreported","https://tumult.com/hype/","https://apps.apple.com/us/app/hype-4/id1460330618?mt=12&uo=4","itunes-seller","high","","MAS: Hype 4 v4.1.21"
"cn.3uTools.mac","3uTools","3utools","unreported","http://www.3u.com/","","reverse-dns","medium","3uTools – All-in-One iOS Device Management & Flash Tool","candidate 3utools.cn; rel=1.00"
"com.mediahuman.Audio Converter","MediaHuman Audio Converter","mediahuman-audio-converter","unreported","https://www.mediahuman.com/en23/","","reverse-dns","medium","MediaHuman - multimedia software for macOS, Windows and Linux","candidate mediahuman.com; rel=0.33"
"com.tamarack-software.TestGen","TestGen","testgen","unreported","https://tamarack-software.com/","","reverse-dns","medium","Tamarack Software","candidate tamarack-software.com; rel=0.00"
"com.epson.EPSON_Software_Updater","EPSON Software Updater","epson-software-updater","unreported","https://epson.com/","","reverse-dns","medium","Epson Global Portal","candidate epson.com; rel=0.33"
"pl.com.salsoft.SQLiteStudio","SQLiteStudio","sqlitestudio","unreported","https://salsoft.com.pl/","","reverse-dns","medium","","candidate salsoft.com.pl; rel=0.00"
"de.clipgrab.ClipGrab","ClipGrab","clipgrab","unreported","https://clipgrab.de/","","reverse-dns","medium","ClipGrab - Downloader und Converter für YouTube & Co","candidate clipgrab.de; rel=1.00"
"net.scribus","Scribus","scribus","unreported","https://scribus.com/","","reverse-dns","medium","","candidate scribus.com; rel=1.00"
"com.synology.DSAssistant","DSAssistant","dsassistant","unreported","https://www.synology.com/en-global","","reverse-dns","medium","Synology Inc.","candidate synology.com; rel=0.00"
"com.syniumsoftware.macfamilytree11","MacFamilyTree 11","macfamilytree-11","native","https://www.syniumsoftware.com/macfamilytree","https://apps.apple.com/us/app/macfamilytree-11/id6480510488?mt=12&uo=4","itunes-seller","high","","MAS: MacFamilyTree 11 v11.2.3"
"io.ente.auth.mac","Ente Auth","ente-auth","native","https://ente.com/","","reverse-dns","medium","","candidate ente.io; rel=0.50"
"com.cron.electron","Notion Calendar","notion-calendar","unreported","https://www.notion.com/product/calendar","","web-search","high","","web: official product page (web search)"
"com.zeroonetwenty.FileInsight","FileInsight","fileinsight","unreported","https://apps.apple.com/us/app/fileinsight/id777031670?mt=12&uo=4","https://apps.apple.com/us/app/fileinsight/id777031670?mt=12&uo=4","itunes-appstore","high","","MAS: FileInsight v1.4"
"com.samsung.SmartSwitch","SmartSwitch","smartswitch","native","https://www.samsung.com/us/","","reverse-dns","medium","Samsung US | Mobile | TV | Home Electronics | Home Appliances | Samsung US","candidate samsung.com; rel=0.00"
"FlashForge.FlashPrint5","FlashPrint","flashprint","unreported","https://www.flashforge.com/pages/download-center","","web-search","high","","web: FlashForge official download center"
"com.cyberbotics.webots","Webots","webots","native","https://cyberbotics.com/","","reverse-dns","medium","Cyberbotics: Robotics simulation with Webots","candidate cyberbotics.com; rel=1.00"
"com.abacus.Image-Viewer","Image Viewer","image-viewer","unreported","https://spend.emburse.com/login","","reverse-dns","medium","Emburse Spend","candidate abacus.com; rel=0.00"
"com.garmin.renu.client","Garmin Express","garmin-express","unreported","https://www.garmin.com/en-US/","","reverse-dns","medium","Garmin Official Site","candidate garmin.com; rel=0.50"
"com.macphun.aurorahdr2018mas","Aurora HDR 2018","aurora-hdr-2018","unreported","https://skylum.com/aurorahdr","","web-search","medium","","web: Skylum (formerly Macphun); product discontinued"
"org.R-project.R","R","r","native","https://www.r-project.org/","","reverse-dns","medium","R: The R Project for Statistical Computing","candidate r-project.org; rel=0.00"
"com.readmeansrun.Router","Router","router","native","https://readmeansrun.com/router/","https://apps.apple.com/us/app/router/id1229416813?mt=12&uo=4","itunes-seller","high","","MAS: Router v1.11.11"
"com.eteks.sweethome3d.SweetHome3D","Sweet Home 3D","sweet-home-3d","native","https://apps.apple.com/us/app/sweet-home-3d-plan-your-house/id669289700?mt=12&uo=4","https://apps.apple.com/us/app/sweet-home-3d-plan-your-house/id669289700?mt=12&uo=4","itunes-appstore","high","","MAS: Sweet Home 3D Plan Your House v7.6.6"
"io.tailscale.ipn.macos","Tailscale","tailscale","native","https://tailscale.com","https://apps.apple.com/us/app/tailscale/id1475387142?mt=12&uo=4","itunes-seller","high","","MAS: Tailscale v1.98.5"
"yury.golubinsky.XstereO-Player","XstereO Player","xstereo-player","unreported","http://urixblog.com","https://apps.apple.com/us/app/xstereo-player/id475195500?mt=12&uo=4","itunes-seller","high","","MAS: XstereO Player v4.2"
"uk.co.bbc.iplayer.downloads","BBC iPlayer Downloads","bbc-iplayer-downloads","unreported","https://www.bbc.co.uk/","","reverse-dns","medium","BBC - Home","candidate bbc.co.uk; rel=0.33"
"com.assess.assessment","Assessment Viewer","assessment-viewer","unreported","https://assess.com/","","reverse-dns","medium","Smarter solutions for Certification &amp; Education | Assessment Systems","candidate assess.com; rel=0.50"
"de.twocent.notary.app","Notary","notary","native","http://twocent.de/","","reverse-dns","medium","","candidate twocent.de; rel=0.00"
"com.sdercolin.vlabeler","vLabeler","vlabeler","native","https://sdercolin.com/","","reverse-dns","medium","fantasia","candidate sdercolin.com; rel=0.00"
"com.apimac.iDatabaseMac","iDatabase","idatabase","native","http://www.apimac.com/mac/idatabase","https://apps.apple.com/us/app/idatabase/id414104841?mt=12&uo=4","itunes-seller","high","","MAS: iDatabase v27.1.5"
"com.kobo.desktop.Kobo","Kobo","kobo","unreported","https://www.kobo.com/desktop","","web-search","high","","web: Kobo Desktop app page"
"com.epson.PhotoPlusTool","EpsonPhotoPlusTool","epsonphotoplustool","unreported","https://epson.com/","","reverse-dns","medium","Epson Global Portal","candidate epson.com; rel=0.00"
"com.epson.PhotoPlus","Epson Photo+","epson-photo","unreported","https://epson.com/","","reverse-dns","medium","Epson Global Portal","candidate epson.com; rel=0.50"
"com.epson.EpsonConnectPrinterSetup","Epson Connect Printer Setup","epson-connect-printer-setup","native","https://epson.com/","","reverse-dns","medium","Epson Global Portal","candidate epson.com; rel=0.25"
"org.openoffice.script","OpenOffice","openoffice","unreported","https://www.openoffice.org/","","reverse-dns","medium","Apache OpenOffice - Official Site - The Free and Open Productivity Suite","candidate openoffice.org; rel=1.00"
"com.rivafarabi.deckboard.server","Deckboard","deckboard","native","https://deckboard.app","","web-search","medium","","web: official site (Riva Farabi)"
"org.clindberg.ManOpen","ManOpen","manopen","unreported","https://clindberg.org/","","reverse-dns","medium","Carl E. Lindberg Home Page","candidate clindberg.org; rel=0.00"
"com.eastgate.Tinderbox-8","Tinderbox","tinderbox","native","https://eastgate.com/","","reverse-dns","medium","Eastgate: serious hypertext","candidate eastgate.com; rel=0.00"
